epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.6933,20.42,2.2894,52.80,-1.4039,-32.38,0.000100
2,2.2929,53.20,1.8396,65.50,-0.4533,-12.30,0.000200
3,2.0948,58.27,1.9483,63.50,-0.1465,-5.23,0.000300
4,2.0949,59.57,1.9471,62.00,-0.1477,-2.43,0.000400
5,2.1049,59.03,2.0289,59.40,-0.0760,-0.37,0.000500
6,2.0007,61.38,2.0122,62.30,0.0115,-0.92,0.000500
7,1.9199,63.57,1.9438,62.80,0.0239,0.77,0.000499
8,1.8295,67.26,1.9503,64.50,0.1207,2.76,0.000498
9,1.7677,69.59,1.9260,63.40,0.1583,6.19,0.000495
10,1.6767,72.52,1.9796,62.40,0.3029,10.12,0.000491
11,1.6516,73.30,1.9594,62.10,0.3078,11.20,0.000485
12,1.5906,75.22,1.9243,65.60,0.3337,9.62,0.000479
13,1.5303,77.19,1.9053,65.10,0.3750,12.09,0.000471
14,1.4870,78.77,1.8377,68.60,0.3506,10.17,0.000463
15,1.4535,79.88,1.9622,62.60,0.5087,17.28,0.000453
16,1.4083,81.52,1.9092,64.90,0.5009,16.62,0.000443
17,1.3912,81.99,1.8923,67.60,0.5012,14.39,0.000431
18,1.3482,83.29,1.8763,64.80,0.5281,18.49,0.000419
19,1.3173,84.19,1.8575,67.90,0.5402,16.29,0.000406
20,1.2749,85.91,1.8645,66.70,0.5896,19.21,0.000392
21,1.2474,86.89,1.9058,66.60,0.6584,20.29,0.000378
22,1.2388,87.08,1.8986,65.90,0.6598,21.18,0.000362
23,1.2050,88.17,1.9241,65.90,0.7191,22.27,0.000347
24,1.1940,88.84,1.9099,65.80,0.7159,23.04,0.000331
25,1.1583,89.76,1.8508,67.30,0.6925,22.46,0.000314
26,1.1330,90.54,1.9130,66.30,0.7799,24.24,0.000298
27,1.1164,91.03,1.8757,68.50,0.7594,22.53,0.000281
28,1.0982,91.33,1.8585,69.40,0.7604,21.93,0.000264
29,1.0723,92.38,1.8771,67.80,0.8048,24.58,0.000246
30,1.0647,92.63,1.8820,67.40,0.8173,25.23,0.000229
31,1.0367,93.07,1.9067,67.60,0.8700,25.47,0.000212
32,1.0195,93.79,1.8604,67.90,0.8409,25.89,0.000196
33,1.0015,94.38,1.8860,67.20,0.8845,27.18,0.000179
34,0.9913,94.54,1.8745,69.10,0.8831,25.44,0.000163
35,0.9736,95.00,1.8621,69.00,0.8885,26.00,0.000148
36,0.9619,95.59,1.8467,69.60,0.8849,25.99,0.000133
37,0.9494,95.57,1.8147,70.70,0.8653,24.87,0.000118
38,0.9433,96.13,1.8260,70.80,0.8826,25.33,0.000104
39,0.9346,96.17,1.7895,71.20,0.8549,24.97,0.000091
40,0.9280,96.43,1.7714,71.40,0.8434,25.03,0.000079
41,0.9181,96.58,1.7581,72.10,0.8400,24.48,0.000067
42,0.9066,96.97,1.7546,72.00,0.8480,24.97,0.000057
43,0.9042,96.94,1.7675,71.80,0.8633,25.14,0.000047
44,0.8979,97.08,1.7479,71.40,0.8499,25.68,0.000039
45,0.8944,97.12,1.7517,72.10,0.8573,25.02,0.000031
46,0.8909,97.22,1.7320,73.00,0.8411,24.22,0.000025
47,0.8863,97.46,1.7336,72.60,0.8473,24.86,0.000019
48,0.8875,97.31,1.7217,73.00,0.8342,24.31,0.000015
49,0.8859,97.44,1.7242,72.90,0.8383,24.54,0.000012
50,0.8826,97.59,1.7244,72.40,0.8418,25.19,0.000011
