epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.6510,44.93,1.6475,72.23,-1.0036,-27.30,0.000100
2,1.9206,64.03,1.5642,74.20,-0.3564,-10.17,0.000200
3,1.8919,64.71,1.6047,73.30,-0.2873,-8.59,0.000300
4,1.9448,63.06,1.7135,69.53,-0.2313,-6.48,0.000400
5,2.0063,61.03,1.8109,66.43,-0.1954,-5.40,0.000500
6,1.9308,63.42,1.7408,68.07,-0.1900,-4.65,0.000500
7,1.8616,65.78,1.7146,69.17,-0.1469,-3.39,0.000499
8,1.7986,67.58,1.6819,70.17,-0.1167,-2.59,0.000498
9,1.7471,69.22,1.6726,71.10,-0.0745,-1.88,0.000495
10,1.6847,71.36,1.6469,72.33,-0.0379,-0.98,0.000491
11,1.6474,72.26,1.6895,70.77,0.0420,1.49,0.000485
12,1.6078,73.39,1.6399,72.60,0.0322,0.79,0.000479
13,1.5501,75.41,1.6270,72.67,0.0769,2.75,0.000471
14,1.5129,76.56,1.6037,73.60,0.0908,2.96,0.000463
15,1.4746,77.86,1.5987,73.97,0.1241,3.90,0.000453
16,1.4430,79.14,1.6297,73.30,0.1866,5.84,0.000443
17,1.4064,80.34,1.6194,73.77,0.2130,6.57,0.000431
18,1.3722,81.33,1.6468,72.77,0.2746,8.56,0.000419
19,1.3393,82.62,1.6216,73.97,0.2823,8.66,0.000406
20,1.3161,83.24,1.6021,74.17,0.2861,9.07,0.000392
21,1.2765,84.61,1.5776,75.10,0.3011,9.51,0.000378
22,1.2591,85.41,1.5918,74.40,0.3327,11.01,0.000362
23,1.2230,86.58,1.5634,75.63,0.3404,10.95,0.000347
24,1.1992,87.02,1.5665,75.20,0.3673,11.82,0.000331
25,1.1813,87.77,1.5526,76.93,0.3714,10.83,0.000314
26,1.1537,88.81,1.5987,75.77,0.4450,13.04,0.000298
27,1.1282,89.58,1.5198,77.57,0.3917,12.01,0.000281
28,1.1061,90.18,1.5468,76.17,0.4406,14.01,0.000264
29,1.0859,90.94,1.5442,77.30,0.4583,13.64,0.000246
30,1.0649,91.57,1.5755,76.93,0.5106,14.64,0.000229
31,1.0531,91.98,1.5369,77.53,0.4838,14.44,0.000212
32,1.0288,92.69,1.5509,76.60,0.5221,16.09,0.000196
33,1.0188,93.17,1.5351,77.27,0.5163,15.90,0.000179
34,0.9964,93.76,1.4839,79.07,0.4876,14.70,0.000163
35,0.9829,94.22,1.4938,79.00,0.5109,15.22,0.000148
36,0.9715,94.57,1.4792,78.97,0.5077,15.61,0.000133
37,0.9543,94.99,1.4631,79.77,0.5088,15.22,0.000118
38,0.9465,95.25,1.4765,78.97,0.5300,16.29,0.000104
39,0.9462,95.29,1.4622,80.30,0.5160,14.99,0.000091
40,0.9332,95.67,1.4859,79.70,0.5527,15.97,0.000079
41,0.9269,95.86,1.4490,80.80,0.5220,15.06,0.000067
42,0.9106,96.29,1.4525,80.47,0.5419,15.83,0.000057
43,0.9072,96.54,1.4556,80.73,0.5484,15.81,0.000047
44,0.8996,96.68,1.4384,80.70,0.5387,15.98,0.000039
45,0.9017,96.64,1.4324,80.87,0.5307,15.77,0.000031
46,0.8903,97.00,1.4300,80.87,0.5397,16.13,0.000025
47,0.8881,97.08,1.4251,81.33,0.5370,15.74,0.000019
48,0.8878,96.99,1.4200,81.43,0.5323,15.56,0.000015
49,0.8783,97.27,1.4179,81.10,0.5396,16.17,0.000012
50,0.8869,97.07,1.4226,81.17,0.5357,15.91,0.000011
