epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.7537,42.94,1.6767,71.63,-1.0770,-28.69,0.000100
2,1.9445,63.38,1.5778,73.90,-0.3667,-10.52,0.000200
3,1.9088,64.54,1.6726,71.30,-0.2361,-6.76,0.000300
4,1.9503,63.07,1.6962,70.00,-0.2541,-6.93,0.000400
5,2.0107,61.38,1.7394,68.97,-0.2712,-7.59,0.000500
6,1.9304,63.61,1.7389,67.97,-0.1914,-4.35,0.000500
7,1.8595,66.09,1.7396,68.60,-0.1199,-2.51,0.000499
8,1.8049,67.50,1.6720,71.10,-0.1330,-3.60,0.000498
9,1.7505,69.23,1.6585,71.53,-0.0920,-2.31,0.000495
10,1.6828,71.21,1.6837,71.23,0.0009,-0.02,0.000491
11,1.6486,72.21,1.6290,72.47,-0.0196,-0.25,0.000485
12,1.5980,74.22,1.6400,72.50,0.0420,1.72,0.000479
13,1.5451,75.33,1.6088,73.43,0.0637,1.89,0.000471
14,1.5134,76.91,1.6411,72.90,0.1277,4.01,0.000463
15,1.4757,77.82,1.6165,73.20,0.1408,4.62,0.000453
16,1.4364,79.37,1.6501,72.57,0.2137,6.80,0.000443
17,1.4072,79.91,1.5951,74.00,0.1879,5.91,0.000431
18,1.3699,81.39,1.5761,74.80,0.2062,6.59,0.000419
19,1.3442,82.28,1.6106,74.37,0.2663,7.91,0.000406
20,1.3068,83.56,1.5857,75.97,0.2789,7.59,0.000392
21,1.2816,84.41,1.5245,76.50,0.2429,7.91,0.000378
22,1.2486,85.62,1.6388,74.33,0.3902,11.29,0.000362
23,1.2356,86.17,1.5910,75.47,0.3554,10.70,0.000347
24,1.1988,87.31,1.5935,75.30,0.3947,12.01,0.000331
25,1.1690,88.19,1.5704,75.93,0.4014,12.26,0.000314
26,1.1448,89.15,1.5606,75.93,0.4158,13.21,0.000298
27,1.1291,89.56,1.5625,76.23,0.4334,13.33,0.000281
28,1.1146,89.88,1.5607,76.40,0.4460,13.48,0.000264
29,1.0956,90.74,1.5237,77.87,0.4281,12.87,0.000246
30,1.0671,91.54,1.5318,78.27,0.4647,13.27,0.000229
31,1.0526,91.99,1.5201,78.23,0.4676,13.75,0.000212
32,1.0331,92.66,1.5023,78.70,0.4693,13.96,0.000196
33,1.0136,93.39,1.5111,78.40,0.4975,14.99,0.000179
34,1.0025,93.63,1.4818,78.77,0.4792,14.87,0.000163
35,0.9886,93.90,1.4890,79.67,0.5004,14.24,0.000148
36,0.9708,94.45,1.4716,79.67,0.5008,14.78,0.000133
37,0.9614,94.84,1.4872,79.50,0.5259,15.34,0.000118
38,0.9471,95.29,1.4748,79.90,0.5277,15.39,0.000104
39,0.9396,95.49,1.4585,79.57,0.5189,15.93,0.000091
40,0.9256,95.93,1.4448,80.03,0.5191,15.90,0.000079
41,0.9189,96.15,1.4655,79.50,0.5466,16.65,0.000067
42,0.9192,96.06,1.4364,80.33,0.5172,15.73,0.000057
43,0.9086,96.42,1.4535,80.33,0.5448,16.09,0.000047
44,0.9013,96.59,1.4393,80.37,0.5380,16.23,0.000039
45,0.8999,96.73,1.4398,80.53,0.5399,16.20,0.000031
46,0.8911,96.92,1.4427,80.57,0.5516,16.36,0.000025
47,0.8886,96.94,1.4324,80.90,0.5438,16.04,0.000019
48,0.8825,97.17,1.4347,80.83,0.5521,16.34,0.000015
49,0.8832,97.15,1.4317,80.83,0.5485,16.32,0.000012
50,0.8822,97.18,1.4317,80.93,0.5495,16.25,0.000011
