epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.6890,44.23,1.5917,74.57,-1.0974,-30.33,0.000100
2,1.9156,64.19,1.5180,76.23,-0.3976,-12.04,0.000200
3,1.8926,64.74,1.5743,74.30,-0.3183,-9.56,0.000300
4,1.9454,63.03,1.6560,71.20,-0.2894,-8.17,0.000400
5,2.0053,61.17,1.7015,69.83,-0.3038,-8.67,0.000500
6,1.9284,63.41,1.6984,69.70,-0.2300,-6.29,0.000500
7,1.8721,65.39,1.6730,71.23,-0.1991,-5.85,0.000499
8,1.8054,67.21,1.6285,72.20,-0.1770,-4.99,0.000498
9,1.7428,69.37,1.6988,70.07,-0.0440,-0.70,0.000495
10,1.6856,70.96,1.6073,72.63,-0.0783,-1.68,0.000491
11,1.6385,72.42,1.5818,73.83,-0.0568,-1.41,0.000485
12,1.6023,73.63,1.6006,73.97,-0.0017,-0.33,0.000479
13,1.5566,75.19,1.6041,73.33,0.0475,1.86,0.000471
14,1.5158,76.34,1.5733,73.47,0.0575,2.87,0.000463
15,1.4710,77.94,1.5919,73.47,0.1210,4.47,0.000453
16,1.4363,79.18,1.5816,74.47,0.1452,4.71,0.000443
17,1.4049,80.09,1.5455,75.20,0.1406,4.89,0.000431
18,1.3785,81.13,1.5220,76.53,0.1435,4.60,0.000419
19,1.3437,82.24,1.5333,76.53,0.1896,5.71,0.000406
20,1.3124,83.37,1.4975,76.63,0.1851,6.74,0.000392
21,1.2877,84.40,1.5374,76.20,0.2497,8.20,0.000378
22,1.2496,85.48,1.5226,76.43,0.2729,9.05,0.000362
23,1.2247,86.45,1.5369,76.97,0.3122,9.48,0.000347
24,1.1977,87.26,1.5026,78.40,0.3049,8.86,0.000331
25,1.1713,88.19,1.5246,77.73,0.3533,10.46,0.000314
26,1.1529,88.66,1.4674,78.57,0.3145,10.09,0.000298
27,1.1346,89.44,1.4638,78.87,0.3292,10.57,0.000281
28,1.1102,90.19,1.5055,77.43,0.3953,12.76,0.000264
29,1.0911,90.78,1.4709,78.60,0.3798,12.18,0.000246
30,1.0670,91.59,1.4613,78.30,0.3944,13.29,0.000229
31,1.0544,91.96,1.4472,79.10,0.3929,12.86,0.000212
32,1.0322,92.67,1.4542,79.13,0.4220,13.53,0.000196
33,1.0149,93.12,1.4763,79.63,0.4613,13.49,0.000179
34,0.9997,93.58,1.4402,81.10,0.4405,12.48,0.000163
35,0.9838,94.19,1.4264,80.60,0.4426,13.59,0.000148
36,0.9768,94.37,1.4295,81.13,0.4527,13.24,0.000133
37,0.9652,94.79,1.4245,81.07,0.4593,13.72,0.000118
38,0.9507,95.11,1.4090,81.10,0.4583,14.01,0.000104
39,0.9337,95.77,1.4240,80.67,0.4902,15.10,0.000091
40,0.9267,95.98,1.3957,81.77,0.4689,14.21,0.000079
41,0.9283,95.97,1.4102,81.47,0.4819,14.50,0.000067
42,0.9135,96.37,1.4056,81.90,0.4921,14.47,0.000057
43,0.9005,96.71,1.4032,81.97,0.5026,14.74,0.000047
44,0.9077,96.42,1.3939,82.27,0.4862,14.16,0.000039
45,0.8986,96.71,1.3832,82.47,0.4845,14.24,0.000031
46,0.8925,96.91,1.3781,82.70,0.4855,14.21,0.000025
47,0.8933,96.86,1.3783,82.80,0.4849,14.06,0.000019
48,0.8901,96.95,1.3719,82.73,0.4818,14.22,0.000015
49,0.8846,97.09,1.3684,82.67,0.4838,14.42,0.000012
50,0.8799,97.30,1.3660,82.67,0.4861,14.63,0.000011
