epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.6037,23.06,2.2137,54.60,-1.3900,-31.54,0.000100
2,2.2581,54.83,1.8039,66.50,-0.4542,-11.67,0.000200
3,2.0936,59.83,1.8626,64.60,-0.2310,-4.77,0.000300
4,2.0989,58.99,1.8964,64.20,-0.2025,-5.21,0.000400
5,2.1006,59.08,1.9031,64.00,-0.1976,-4.92,0.000500
6,2.0169,61.27,1.9121,64.10,-0.1049,-2.83,0.000500
7,1.9036,64.61,2.0331,60.00,0.1295,4.61,0.000499
8,1.8327,66.98,1.9213,64.30,0.0885,2.68,0.000498
9,1.7541,69.64,1.9130,64.10,0.1589,5.54,0.000495
10,1.6939,71.84,1.9900,61.40,0.2961,10.44,0.000491
11,1.6359,73.44,1.9139,64.00,0.2780,9.44,0.000485
12,1.5595,75.92,1.9334,65.50,0.3739,10.42,0.000479
13,1.5251,77.58,1.9440,63.40,0.4188,14.18,0.000471
14,1.4824,79.18,1.9396,64.70,0.4572,14.48,0.000463
15,1.4580,79.64,1.9197,64.20,0.4617,15.44,0.000453
16,1.4094,81.93,1.8841,66.20,0.4747,15.73,0.000443
17,1.3907,82.42,1.9414,64.90,0.5507,17.52,0.000431
18,1.3309,84.52,1.8945,66.80,0.5636,17.72,0.000419
19,1.3216,84.34,1.8895,67.30,0.5679,17.04,0.000406
20,1.2990,85.17,1.8933,66.40,0.5943,18.77,0.000392
21,1.2404,86.82,1.9118,66.70,0.6714,20.12,0.000378
22,1.2351,87.73,1.8817,66.40,0.6467,21.33,0.000362
23,1.1891,88.81,1.8771,69.60,0.6880,19.21,0.000347
24,1.1820,88.94,1.9395,67.20,0.7575,21.74,0.000331
25,1.1385,90.18,1.8886,67.70,0.7501,22.48,0.000314
26,1.1282,90.64,1.8889,67.60,0.7607,23.04,0.000298
27,1.0949,91.58,1.9198,67.30,0.8249,24.28,0.000281
28,1.0970,91.41,1.9143,66.80,0.8173,24.61,0.000264
29,1.0661,92.47,1.8855,67.00,0.8193,25.47,0.000246
30,1.0515,92.91,1.8828,67.50,0.8313,25.41,0.000229
31,1.0363,93.39,1.8657,68.90,0.8294,24.49,0.000212
32,1.0200,93.88,1.8557,68.20,0.8358,25.68,0.000196
33,1.0101,94.10,1.8459,69.20,0.8358,24.90,0.000179
34,0.9873,94.81,1.8678,69.00,0.8805,25.81,0.000163
35,0.9694,95.34,1.8070,70.90,0.8376,24.44,0.000148
36,0.9658,95.28,1.7859,70.00,0.8201,25.28,0.000133
37,0.9412,96.19,1.7407,72.40,0.7995,23.79,0.000118
38,0.9512,95.72,1.7599,71.30,0.8087,24.42,0.000104
39,0.9388,95.99,1.7708,71.40,0.8319,24.59,0.000091
40,0.9205,96.60,1.7375,73.10,0.8170,23.50,0.000079
41,0.9051,96.97,1.7626,72.10,0.8576,24.87,0.000067
42,0.9051,96.96,1.7433,73.00,0.8382,23.96,0.000057
43,0.9055,96.93,1.7210,72.60,0.8156,24.33,0.000047
44,0.9011,97.11,1.7288,72.80,0.8277,24.31,0.000039
45,0.8913,97.37,1.7257,72.60,0.8344,24.77,0.000031
46,0.8821,97.50,1.7049,72.40,0.8228,25.10,0.000025
47,0.8847,97.46,1.6904,73.40,0.8057,24.06,0.000019
48,0.8842,97.47,1.6900,72.80,0.8058,24.67,0.000015
49,0.8881,97.39,1.6903,72.90,0.8022,24.49,0.000012
50,0.8839,97.46,1.6942,72.40,0.8103,25.06,0.000011
