epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.6546,20.83,2.4095,47.90,-1.2451,-27.07,0.000100
2,2.3245,52.30,1.8144,67.40,-0.5100,-15.10,0.000200
3,2.0860,59.24,1.8599,64.80,-0.2261,-5.56,0.000300
4,2.0703,59.42,1.8658,64.40,-0.2045,-4.98,0.000400
5,2.0972,58.76,1.9735,62.30,-0.1237,-3.54,0.000500
6,2.0177,61.07,1.9111,63.30,-0.1066,-2.23,0.000500
7,1.9072,65.03,1.9018,65.60,-0.0054,-0.57,0.000499
8,1.8408,66.78,1.9194,63.40,0.0786,3.38,0.000498
9,1.7570,69.92,1.8459,66.80,0.0889,3.12,0.000495
10,1.6976,71.83,1.9091,65.90,0.2115,5.93,0.000491
11,1.6221,74.26,1.8749,66.30,0.2528,7.96,0.000485
12,1.5791,75.60,1.9263,63.20,0.3473,12.40,0.000479
13,1.5321,77.49,1.8600,65.90,0.3279,11.59,0.000471
14,1.4830,78.73,1.8171,67.40,0.3341,11.33,0.000463
15,1.4455,79.92,1.8662,65.90,0.4207,14.02,0.000453
16,1.4027,81.74,1.8127,66.90,0.4100,14.84,0.000443
17,1.3691,82.44,1.9058,66.30,0.5367,16.14,0.000431
18,1.3335,84.30,1.8369,67.20,0.5034,17.10,0.000419
19,1.3210,84.38,1.8829,66.30,0.5618,18.08,0.000406
20,1.3035,85.02,1.8179,68.30,0.5144,16.72,0.000392
21,1.2613,86.90,1.8644,67.60,0.6031,19.30,0.000378
22,1.2310,87.30,1.8401,68.50,0.6091,18.80,0.000362
23,1.2090,88.14,1.8364,69.50,0.6274,18.64,0.000347
24,1.1917,88.87,1.8099,68.00,0.6182,20.87,0.000331
25,1.1552,89.77,1.7237,72.90,0.5685,16.87,0.000314
26,1.1396,90.20,1.7899,70.70,0.6503,19.50,0.000298
27,1.1148,90.64,1.7631,70.70,0.6483,19.94,0.000281
28,1.1091,91.11,1.7962,70.60,0.6871,20.51,0.000264
29,1.0695,92.09,1.7789,70.50,0.7094,21.59,0.000246
30,1.0674,92.51,1.7906,70.00,0.7233,22.51,0.000229
31,1.0308,93.54,1.7491,71.70,0.7183,21.84,0.000212
32,1.0257,93.58,1.7149,72.60,0.6892,20.98,0.000196
33,1.0071,94.18,1.7746,71.00,0.7675,23.18,0.000179
34,0.9888,94.80,1.7110,72.60,0.7222,22.20,0.000163
35,0.9658,95.31,1.7225,73.30,0.7568,22.01,0.000148
36,0.9606,95.33,1.7159,73.00,0.7553,22.33,0.000133
37,0.9386,96.08,1.6690,74.10,0.7304,21.98,0.000118
38,0.9405,95.91,1.6856,72.70,0.7451,23.21,0.000104
39,0.9381,95.93,1.6518,74.30,0.7137,21.63,0.000091
40,0.9299,96.34,1.6463,74.30,0.7164,22.04,0.000079
41,0.9112,96.73,1.6486,74.30,0.7374,22.43,0.000067
42,0.9090,96.73,1.6397,74.30,0.7307,22.43,0.000057
43,0.9057,96.89,1.6369,74.30,0.7312,22.59,0.000047
44,0.8922,97.32,1.6383,74.90,0.7461,22.42,0.000039
45,0.9032,96.98,1.6188,73.70,0.7156,23.28,0.000031
46,0.8819,97.59,1.6331,74.30,0.7512,23.29,0.000025
47,0.8852,97.46,1.6174,75.00,0.7322,22.46,0.000019
48,0.8907,97.29,1.6147,74.70,0.7240,22.59,0.000015
49,0.8803,97.57,1.5997,75.20,0.7195,22.37,0.000012
50,0.8749,97.88,1.5940,75.40,0.7191,22.48,0.000011
