epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.7837,42.01,1.7021,71.07,-1.0816,-29.06,0.000100
2,1.9529,63.40,1.6018,72.30,-0.3510,-8.90,0.000200
3,1.9113,64.12,1.6349,71.87,-0.2765,-7.75,0.000300
4,1.9465,63.47,1.7245,69.53,-0.2220,-6.06,0.000400
5,1.9992,61.66,1.7891,67.67,-0.2100,-6.01,0.000500
6,1.9343,63.44,1.7109,69.63,-0.2235,-6.19,0.000500
7,1.8526,66.09,1.7454,69.00,-0.1072,-2.91,0.000499
8,1.7878,67.66,1.7253,69.60,-0.0625,-1.94,0.000498
9,1.7455,69.41,1.6890,69.80,-0.0566,-0.39,0.000495
10,1.6947,70.74,1.6953,70.30,0.0006,0.44,0.000491
11,1.6499,72.25,1.6438,71.97,-0.0061,0.28,0.000485
12,1.5910,74.15,1.6216,72.67,0.0306,1.49,0.000479
13,1.5661,74.99,1.6725,71.03,0.1064,3.96,0.000471
14,1.5139,76.61,1.6306,72.30,0.1167,4.31,0.000463
15,1.4785,77.89,1.6136,74.07,0.1351,3.83,0.000453
16,1.4270,79.53,1.6110,73.70,0.1841,5.83,0.000443
17,1.4130,79.82,1.6214,73.83,0.2084,5.99,0.000431
18,1.3758,81.44,1.5937,74.37,0.2179,7.07,0.000419
19,1.3336,82.82,1.6504,73.70,0.3169,9.12,0.000406
20,1.3063,83.61,1.6090,73.77,0.3027,9.84,0.000392
21,1.2652,84.93,1.5982,74.53,0.3329,10.39,0.000378
22,1.2475,85.47,1.5750,75.53,0.3275,9.93,0.000362
23,1.2235,86.35,1.5894,74.87,0.3659,11.48,0.000347
24,1.1989,87.31,1.5648,75.60,0.3659,11.71,0.000331
25,1.1684,88.14,1.5617,75.97,0.3933,12.18,0.000314
26,1.1513,88.77,1.5573,75.33,0.4060,13.44,0.000298
27,1.1238,89.80,1.5630,76.10,0.4392,13.70,0.000281
28,1.1133,90.11,1.5507,76.10,0.4373,14.01,0.000264
29,1.0891,90.87,1.5215,77.30,0.4325,13.57,0.000246
30,1.0622,91.83,1.5428,77.27,0.4806,14.57,0.000229
31,1.0489,92.14,1.5471,77.60,0.4981,14.54,0.000212
32,1.0292,92.94,1.5393,77.40,0.5101,15.54,0.000196
33,1.0176,93.11,1.5043,77.90,0.4866,15.21,0.000179
34,0.9993,93.69,1.5041,78.40,0.5049,15.29,0.000163
35,0.9824,94.23,1.5247,77.77,0.5424,16.47,0.000148
36,0.9765,94.39,1.4846,79.00,0.5081,15.39,0.000133
37,0.9647,94.81,1.5098,78.93,0.5452,15.87,0.000118
38,0.9485,95.27,1.4787,79.30,0.5302,15.97,0.000104
39,0.9420,95.39,1.4628,79.77,0.5208,15.62,0.000091
40,0.9303,95.71,1.4733,79.73,0.5431,15.98,0.000079
41,0.9175,96.09,1.4549,80.40,0.5374,15.69,0.000067
42,0.9126,96.34,1.4453,81.00,0.5327,15.34,0.000057
43,0.9087,96.41,1.4515,80.70,0.5428,15.71,0.000047
44,0.9026,96.63,1.4372,81.10,0.5346,15.53,0.000039
45,0.8998,96.71,1.4339,80.93,0.5341,15.78,0.000031
46,0.8917,96.91,1.4361,80.83,0.5443,16.08,0.000025
47,0.8907,97.01,1.4349,81.53,0.5442,15.48,0.000019
48,0.8830,97.15,1.4361,81.37,0.5532,15.79,0.000015
49,0.8892,97.00,1.4318,81.67,0.5426,15.33,0.000012
50,0.8825,97.19,1.4300,81.33,0.5475,15.85,0.000011
