epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.7352,20.16,2.3645,52.90,-1.3708,-32.74,0.000100
2,2.3253,52.21,1.9172,63.80,-0.4081,-11.59,0.000200
3,2.1089,59.16,1.8257,66.90,-0.2832,-7.74,0.000300
4,2.0691,59.61,1.8376,67.10,-0.2315,-7.49,0.000400
5,2.1097,58.30,1.9977,62.60,-0.1120,-4.30,0.000500
6,1.9838,62.44,2.0146,60.60,0.0308,1.84,0.000500
7,1.9065,65.03,1.9238,62.80,0.0173,2.23,0.000499
8,1.8306,67.48,2.0209,60.90,0.1903,6.58,0.000498
9,1.7703,69.00,1.9224,64.20,0.1521,4.80,0.000495
10,1.6969,71.40,1.8785,67.00,0.1816,4.40,0.000491
11,1.6352,73.67,1.9569,63.50,0.3217,10.17,0.000485
12,1.6064,74.82,1.8856,67.00,0.2793,7.82,0.000479
13,1.5470,76.79,1.8964,64.40,0.3494,12.39,0.000471
14,1.4984,78.04,1.8564,65.90,0.3580,12.14,0.000463
15,1.4731,79.32,1.8733,66.20,0.4002,13.12,0.000453
16,1.4132,81.58,1.8600,67.30,0.4468,14.28,0.000443
17,1.3951,82.01,1.8725,66.70,0.4774,15.31,0.000431
18,1.3612,83.17,1.8924,66.60,0.5312,16.57,0.000419
19,1.3281,84.16,1.9822,65.60,0.6541,18.56,0.000406
20,1.2742,85.77,1.8544,67.60,0.5802,18.17,0.000392
21,1.2512,86.97,1.8256,68.70,0.5745,18.27,0.000378
22,1.2403,87.13,1.8487,67.30,0.6084,19.83,0.000362
23,1.2024,88.37,1.8477,67.50,0.6452,20.87,0.000347
24,1.1643,89.28,1.8458,68.00,0.6815,21.28,0.000331
25,1.1793,89.02,1.8245,68.30,0.6453,20.72,0.000314
26,1.1391,90.38,1.8363,68.80,0.6972,21.58,0.000298
27,1.1109,90.92,1.8208,68.70,0.7100,22.22,0.000281
28,1.1025,91.67,1.8705,68.50,0.7679,23.17,0.000264
29,1.0945,91.34,1.8133,69.00,0.7188,22.34,0.000246
30,1.0651,92.60,1.7751,71.00,0.7100,21.60,0.000229
31,1.0439,93.24,1.8141,68.80,0.7702,24.44,0.000212
32,1.0229,93.59,1.7958,71.20,0.7729,22.39,0.000196
33,1.0005,94.39,1.7859,71.70,0.7854,22.69,0.000179
34,0.9914,94.87,1.7569,71.40,0.7655,23.47,0.000163
35,0.9823,94.72,1.7353,73.20,0.7530,21.52,0.000148
36,0.9561,95.88,1.7384,70.40,0.7822,25.48,0.000133
37,0.9632,95.26,1.7085,72.20,0.7454,23.06,0.000118
38,0.9424,95.96,1.7096,72.60,0.7672,23.36,0.000104
39,0.9330,96.32,1.7070,73.20,0.7740,23.12,0.000091
40,0.9199,96.47,1.7071,73.50,0.7872,22.97,0.000079
41,0.9184,96.52,1.6955,73.40,0.7771,23.12,0.000067
42,0.9140,96.66,1.6840,74.10,0.7699,22.56,0.000057
43,0.9053,96.92,1.6868,72.40,0.7815,24.52,0.000047
44,0.8991,96.97,1.6721,74.00,0.7730,22.97,0.000039
45,0.8981,97.06,1.6683,74.40,0.7702,22.66,0.000031
46,0.8864,97.49,1.6516,73.70,0.7652,23.79,0.000025
47,0.8928,97.24,1.6505,74.90,0.7577,22.34,0.000019
48,0.8824,97.47,1.6572,74.50,0.7748,22.97,0.000015
49,0.8801,97.66,1.6502,74.20,0.7700,23.46,0.000012
50,0.8807,97.63,1.6440,74.90,0.7633,22.73,0.000011
