epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.7213,19.79,2.3927,50.30,-1.3287,-30.51,0.000100
2,2.3408,52.39,1.9008,64.20,-0.4400,-11.81,0.000200
3,2.1077,59.28,1.8262,67.70,-0.2814,-8.42,0.000300
4,2.0958,59.52,1.9048,63.80,-0.1911,-4.28,0.000400
5,2.0952,59.14,2.0157,61.80,-0.0795,-2.66,0.000500
6,1.9925,62.43,1.9772,62.20,-0.0154,0.23,0.000500
7,1.9277,64.61,2.0442,59.50,0.1165,5.11,0.000499
8,1.8331,67.46,1.8902,64.80,0.0571,2.66,0.000498
9,1.7670,69.08,1.9369,63.30,0.1698,5.78,0.000495
10,1.6747,72.58,1.8981,65.80,0.2234,6.78,0.000491
11,1.6387,73.24,1.9159,64.80,0.2771,8.44,0.000485
12,1.5845,75.24,1.8710,66.10,0.2865,9.14,0.000479
13,1.5510,76.60,1.8698,65.60,0.3187,11.00,0.000471
14,1.5014,78.59,1.9607,63.30,0.4593,15.29,0.000463
15,1.4707,78.99,1.9450,65.50,0.4743,13.49,0.000453
16,1.4247,81.10,1.8885,67.90,0.4639,13.20,0.000443
17,1.3613,83.46,1.8891,67.30,0.5278,16.16,0.000431
18,1.3531,83.52,1.9202,67.00,0.5671,16.52,0.000419
19,1.3080,84.70,1.8642,67.80,0.5562,16.90,0.000406
20,1.2913,85.29,1.8742,67.40,0.5829,17.89,0.000392
21,1.2477,86.72,1.8861,66.80,0.6384,19.92,0.000378
22,1.2321,87.31,1.8352,68.60,0.6031,18.71,0.000362
23,1.2054,88.31,1.8978,65.90,0.6924,22.41,0.000347
24,1.1759,89.19,1.8503,68.30,0.6744,20.89,0.000331
25,1.1583,89.79,1.8717,67.10,0.7134,22.69,0.000314
26,1.1268,90.92,1.8861,67.60,0.7592,23.32,0.000298
27,1.1200,90.89,1.8359,69.50,0.7159,21.39,0.000281
28,1.0874,92.02,1.8413,68.70,0.7539,23.32,0.000264
29,1.0844,92.18,1.8137,69.40,0.7292,22.78,0.000246
30,1.0627,92.47,1.8070,69.60,0.7443,22.87,0.000229
31,1.0404,93.08,1.7863,71.20,0.7459,21.88,0.000212
32,1.0291,93.51,1.8113,70.50,0.7822,23.01,0.000196
33,1.0006,94.53,1.7940,70.20,0.7934,24.33,0.000179
34,0.9794,95.06,1.7686,70.90,0.7892,24.16,0.000163
35,0.9810,94.82,1.7881,71.00,0.8071,23.82,0.000148
36,0.9668,95.39,1.7235,72.30,0.7567,23.09,0.000133
37,0.9562,95.60,1.7269,72.70,0.7708,22.90,0.000118
38,0.9430,95.96,1.7723,71.70,0.8294,24.26,0.000104
39,0.9406,96.02,1.7117,72.20,0.7711,23.82,0.000091
40,0.9155,96.73,1.7041,74.00,0.7886,22.73,0.000079
41,0.9225,96.51,1.6817,73.90,0.7592,22.61,0.000067
42,0.9042,96.98,1.6889,73.40,0.7848,23.58,0.000057
43,0.8987,97.30,1.6858,73.90,0.7871,23.40,0.000047
44,0.8971,97.16,1.6771,74.70,0.7800,22.46,0.000039
45,0.8909,97.29,1.6597,75.00,0.7688,22.29,0.000031
46,0.8831,97.50,1.6495,74.80,0.7663,22.70,0.000025
47,0.8849,97.51,1.6402,75.00,0.7554,22.51,0.000019
48,0.8938,97.22,1.6350,74.60,0.7412,22.62,0.000015
49,0.8728,97.82,1.6318,75.60,0.7590,22.22,0.000012
50,0.8859,97.47,1.6369,74.90,0.7510,22.57,0.000011
