epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.5537,23.80,2.1446,59.10,-1.4091,-35.30,0.000100
2,2.2227,54.67,1.8247,66.50,-0.3980,-11.83,0.000200
3,2.0429,61.27,1.7997,67.30,-0.2431,-6.03,0.000300
4,2.0483,60.24,1.8563,65.60,-0.1920,-5.36,0.000400
5,2.0829,59.37,1.9889,62.40,-0.0941,-3.03,0.000500
6,1.9996,61.58,1.9015,64.10,-0.0981,-2.52,0.000500
7,1.9000,65.02,1.9596,61.60,0.0596,3.42,0.000499
8,1.8322,67.02,1.9553,64.80,0.1230,2.22,0.000498
9,1.7672,68.98,1.9290,62.40,0.1617,6.58,0.000495
10,1.6837,72.88,1.9306,65.00,0.2469,7.88,0.000491
11,1.6270,73.96,1.9590,63.60,0.3320,10.36,0.000485
12,1.5880,75.31,1.9187,65.00,0.3307,10.31,0.000479
13,1.5315,76.86,1.8983,65.70,0.3668,11.16,0.000471
14,1.4993,78.28,1.9150,66.00,0.4158,12.28,0.000463
15,1.4649,79.14,1.9138,66.50,0.4489,12.64,0.000453
16,1.4152,80.80,1.8516,68.60,0.4364,12.20,0.000443
17,1.3640,83.14,1.9335,63.50,0.5694,19.64,0.000431
18,1.3403,83.89,1.8563,66.80,0.5160,17.09,0.000419
19,1.3027,84.97,1.9441,65.80,0.6414,19.17,0.000406
20,1.2792,85.88,1.9325,65.00,0.6532,20.88,0.000392
21,1.2650,86.43,1.8384,68.90,0.5734,17.53,0.000378
22,1.2412,86.67,1.8843,67.90,0.6432,18.77,0.000362
23,1.2132,87.86,1.9521,64.60,0.7388,23.26,0.000347
24,1.1792,89.17,1.9388,66.20,0.7597,22.97,0.000331
25,1.1525,90.04,1.9090,67.50,0.7565,22.54,0.000314
26,1.1219,90.81,1.8955,67.60,0.7736,23.21,0.000298
27,1.1233,90.78,1.8640,68.60,0.7407,22.18,0.000281
28,1.0868,91.99,1.8580,67.90,0.7712,24.09,0.000264
29,1.0667,92.52,1.8192,69.30,0.7524,23.22,0.000246
30,1.0507,93.00,1.8420,68.80,0.7913,24.20,0.000229
31,1.0424,93.08,1.8410,69.00,0.7987,24.08,0.000212
32,1.0142,93.91,1.8498,68.00,0.8356,25.91,0.000196
33,1.0028,94.33,1.8100,70.90,0.8072,23.43,0.000179
34,0.9930,94.44,1.8176,68.80,0.8246,25.64,0.000163
35,0.9749,95.03,1.8052,70.60,0.8303,24.43,0.000148
36,0.9505,95.76,1.7899,70.30,0.8394,25.46,0.000133
37,0.9513,95.68,1.7776,71.40,0.8263,24.28,0.000118
38,0.9406,96.11,1.7456,71.50,0.8049,24.61,0.000104
39,0.9303,96.43,1.7561,72.00,0.8258,24.43,0.000091
40,0.9289,96.10,1.7503,71.20,0.8213,24.90,0.000079
41,0.9174,96.59,1.7111,72.90,0.7937,23.69,0.000067
42,0.9187,96.56,1.6968,73.00,0.7781,23.56,0.000057
43,0.8999,97.19,1.7142,72.70,0.8143,24.49,0.000047
44,0.8971,97.29,1.7067,72.10,0.8096,25.19,0.000039
45,0.8992,97.06,1.7155,72.60,0.8163,24.46,0.000031
46,0.8841,97.37,1.7226,72.40,0.8385,24.97,0.000025
47,0.8857,97.43,1.7102,71.70,0.8245,25.73,0.000019
48,0.8786,97.62,1.7144,72.20,0.8358,25.42,0.000015
49,0.8879,97.39,1.7082,72.60,0.8203,24.79,0.000012
50,0.8810,97.48,1.7059,73.00,0.8248,24.48,0.000011
