epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.6538,20.97,2.3351,51.30,-1.3187,-30.33,0.000100
2,2.2917,53.30,1.9045,63.90,-0.3872,-10.60,0.000200
3,2.1065,58.83,1.8356,65.70,-0.2708,-6.87,0.000300
4,2.0502,60.57,1.8463,65.30,-0.2039,-4.73,0.000400
5,2.0752,59.58,1.9855,61.00,-0.0897,-1.42,0.000500
6,1.9896,61.91,1.9647,61.60,-0.0249,0.31,0.000500
7,1.9085,65.26,1.9286,63.00,0.0201,2.26,0.000499
8,1.8061,67.87,1.8742,65.50,0.0681,2.37,0.000498
9,1.7587,68.81,1.8731,64.90,0.1144,3.91,0.000495
10,1.6974,72.03,1.9204,63.30,0.2230,8.73,0.000491
11,1.6354,74.24,1.9282,63.90,0.2929,10.34,0.000485
12,1.5844,75.29,1.9194,65.70,0.3350,9.59,0.000479
13,1.5218,78.12,1.8791,66.80,0.3573,11.32,0.000471
14,1.4969,78.28,1.9700,63.30,0.4731,14.98,0.000463
15,1.4539,80.27,1.8849,67.10,0.4310,13.17,0.000453
16,1.4023,81.50,1.8827,66.40,0.4804,15.10,0.000443
17,1.3799,82.38,1.8915,66.50,0.5117,15.88,0.000431
18,1.3565,83.37,1.8574,67.50,0.5009,15.87,0.000419
19,1.3114,84.88,1.9174,66.30,0.6060,18.58,0.000406
20,1.2803,85.67,1.8817,68.70,0.6013,16.97,0.000392
21,1.2541,86.94,1.8425,67.50,0.5884,19.44,0.000378
22,1.2296,87.17,1.8915,67.00,0.6619,20.17,0.000362
23,1.2127,87.91,1.7823,69.00,0.5696,18.91,0.000347
24,1.1703,89.23,1.8392,69.40,0.6689,19.83,0.000331
25,1.1583,89.63,1.8185,69.50,0.6603,20.13,0.000314
26,1.1347,90.32,1.8267,68.60,0.6920,21.72,0.000298
27,1.1244,90.62,1.8245,69.20,0.7001,21.42,0.000281
28,1.0936,91.49,1.7848,70.20,0.6912,21.29,0.000264
29,1.0738,92.19,1.7691,71.70,0.6953,20.49,0.000246
30,1.0642,92.29,1.7607,71.20,0.6965,21.09,0.000229
31,1.0281,93.72,1.7401,72.30,0.7121,21.42,0.000212
32,1.0124,93.86,1.7512,70.40,0.7389,23.46,0.000196
33,1.0088,94.07,1.7059,71.80,0.6971,22.27,0.000179
34,0.9886,94.60,1.7254,71.40,0.7368,23.20,0.000163
35,0.9776,95.17,1.7140,72.00,0.7364,23.17,0.000148
36,0.9617,95.33,1.7467,71.60,0.7850,23.73,0.000133
37,0.9582,95.48,1.7068,72.80,0.7486,22.68,0.000118
38,0.9406,95.79,1.6695,74.10,0.7289,21.69,0.000104
39,0.9312,96.24,1.6660,74.30,0.7347,21.94,0.000091
40,0.9232,96.48,1.6569,74.80,0.7337,21.68,0.000079
41,0.9127,96.72,1.6510,75.50,0.7383,21.22,0.000067
42,0.9080,96.89,1.6480,75.20,0.7401,21.69,0.000057
43,0.8993,97.06,1.6435,75.50,0.7443,21.56,0.000047
44,0.8952,97.17,1.6245,75.20,0.7293,21.97,0.000039
45,0.8954,97.18,1.6354,75.60,0.7400,21.58,0.000031
46,0.8943,97.12,1.6336,75.90,0.7393,21.22,0.000025
47,0.8870,97.48,1.6287,76.20,0.7417,21.28,0.000019
48,0.8773,97.71,1.6273,76.70,0.7500,21.01,0.000015
49,0.8838,97.40,1.6281,76.30,0.7443,21.10,0.000012
50,0.8789,97.69,1.6190,76.70,0.7401,20.99,0.000011
