epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.5815,47.64,1.5804,75.00,-1.0010,-27.36,0.000100
2,1.8962,65.57,1.5647,74.50,-0.3315,-8.93,0.000200
3,1.8797,65.31,1.5851,73.47,-0.2946,-8.15,0.000300
4,1.9344,63.82,1.6555,70.27,-0.2788,-6.45,0.000400
5,1.9887,61.91,1.8055,67.70,-0.1833,-5.79,0.000500
6,1.9165,63.88,1.7529,68.77,-0.1636,-4.89,0.000500
7,1.8414,65.94,1.7274,68.70,-0.1139,-2.76,0.000499
8,1.7881,67.80,1.6582,72.13,-0.1300,-4.33,0.000498
9,1.7333,69.65,1.7118,69.77,-0.0214,-0.11,0.000495
10,1.6921,70.91,1.6183,71.93,-0.0738,-1.02,0.000491
11,1.6444,72.60,1.6520,71.53,0.0077,1.07,0.000485
12,1.5794,74.35,1.6785,71.30,0.0990,3.05,0.000479
13,1.5466,75.69,1.6365,72.33,0.0899,3.36,0.000471
14,1.5048,76.83,1.6008,73.77,0.0960,3.06,0.000463
15,1.4596,78.46,1.6324,73.00,0.1729,5.46,0.000453
16,1.4352,78.90,1.6001,75.03,0.1649,3.87,0.000443
17,1.3979,80.40,1.6196,73.07,0.2217,7.33,0.000431
18,1.3645,81.71,1.5921,73.77,0.2276,7.94,0.000419
19,1.3372,82.59,1.5986,74.37,0.2613,8.22,0.000406
20,1.2979,83.81,1.5961,74.20,0.2982,9.61,0.000392
21,1.2738,84.55,1.5996,74.87,0.3258,9.69,0.000378
22,1.2488,85.72,1.5797,75.33,0.3309,10.39,0.000362
23,1.2210,86.57,1.6322,74.10,0.4112,12.47,0.000347
24,1.2027,87.03,1.5814,75.47,0.3787,11.57,0.000331
25,1.1662,88.25,1.6094,74.47,0.4432,13.79,0.000314
26,1.1479,88.84,1.5961,75.97,0.4481,12.87,0.000298
27,1.1337,89.29,1.5620,75.93,0.4284,13.36,0.000281
28,1.1058,90.29,1.5689,76.03,0.4631,14.26,0.000264
29,1.0874,91.10,1.5687,76.10,0.4813,15.00,0.000246
30,1.0664,91.49,1.5402,77.00,0.4739,14.49,0.000229
31,1.0456,92.22,1.5521,76.83,0.5065,15.39,0.000212
32,1.0271,92.64,1.5409,78.33,0.5138,14.31,0.000196
33,1.0150,93.16,1.5085,78.37,0.4935,14.79,0.000179
34,1.0042,93.53,1.5715,77.00,0.5672,16.53,0.000163
35,0.9862,93.97,1.5197,78.57,0.5335,15.41,0.000148
36,0.9794,94.28,1.4987,78.93,0.5193,15.35,0.000133
37,0.9569,95.09,1.5298,78.23,0.5729,16.85,0.000118
38,0.9516,95.14,1.5047,79.10,0.5531,16.04,0.000104
39,0.9384,95.47,1.4782,79.73,0.5397,15.74,0.000091
40,0.9298,95.86,1.5045,79.27,0.5747,16.59,0.000079
41,0.9230,96.02,1.4846,79.53,0.5616,16.49,0.000067
42,0.9106,96.43,1.4818,79.87,0.5712,16.56,0.000057
43,0.9057,96.48,1.4836,79.40,0.5779,17.08,0.000047
44,0.8935,96.96,1.4727,80.27,0.5792,16.69,0.000039
45,0.9004,96.71,1.4717,80.30,0.5713,16.41,0.000031
46,0.8975,96.71,1.4682,80.43,0.5707,16.27,0.000025
47,0.8877,96.99,1.4627,80.67,0.5749,16.33,0.000019
48,0.8838,97.19,1.4605,80.63,0.5767,16.56,0.000015
49,0.8758,97.37,1.4476,80.87,0.5718,16.51,0.000012
50,0.8814,97.20,1.4519,80.97,0.5704,16.23,0.000011
