epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.6139,46.86,1.5898,73.83,-1.0241,-26.98,0.000100
2,1.9040,64.88,1.5634,74.30,-0.3406,-9.42,0.000200
3,1.8803,65.23,1.6038,72.90,-0.2764,-7.67,0.000300
4,1.9284,63.97,1.6534,72.10,-0.2749,-8.13,0.000400
5,1.9903,61.86,1.8237,65.33,-0.1666,-3.47,0.000500
6,1.9244,63.76,1.7793,67.47,-0.1451,-3.70,0.000500
7,1.8477,65.90,1.6778,70.60,-0.1699,-4.70,0.000499
8,1.7866,67.66,1.7120,69.27,-0.0745,-1.61,0.000498
9,1.7401,69.39,1.6535,71.70,-0.0866,-2.31,0.000495
10,1.6800,71.23,1.6658,71.43,-0.0141,-0.20,0.000491
11,1.6369,72.60,1.6738,71.10,0.0368,1.50,0.000485
12,1.5916,74.33,1.6168,73.43,0.0252,0.89,0.000479
13,1.5425,75.51,1.6156,72.17,0.0731,3.35,0.000471
14,1.4981,76.79,1.6057,73.93,0.1076,2.86,0.000463
15,1.4716,77.75,1.6037,74.47,0.1321,3.29,0.000453
16,1.4318,79.28,1.6067,73.60,0.1748,5.68,0.000443
17,1.3941,80.60,1.5852,75.03,0.1911,5.57,0.000431
18,1.3590,81.86,1.5709,75.60,0.2119,6.26,0.000419
19,1.3244,82.82,1.5660,75.00,0.2416,7.82,0.000406
20,1.2998,83.56,1.5893,74.37,0.2896,9.19,0.000392
21,1.2720,84.62,1.6040,74.33,0.3320,10.29,0.000378
22,1.2434,85.90,1.5939,74.60,0.3505,11.30,0.000362
23,1.2219,86.46,1.5621,75.50,0.3401,10.96,0.000347
24,1.1982,87.13,1.5652,75.70,0.3670,11.43,0.000331
25,1.1713,88.27,1.5970,74.57,0.4257,13.70,0.000314
26,1.1510,88.85,1.5672,76.07,0.4162,12.79,0.000298
27,1.1296,89.47,1.5614,75.63,0.4318,13.84,0.000281
28,1.1037,90.48,1.5325,77.33,0.4288,13.14,0.000264
29,1.0871,90.87,1.5559,75.73,0.4688,15.13,0.000246
30,1.0617,91.60,1.5283,77.13,0.4666,14.47,0.000229
31,1.0534,91.98,1.5562,76.97,0.5028,15.01,0.000212
32,1.0318,92.77,1.5333,77.13,0.5015,15.63,0.000196
33,1.0109,93.09,1.5443,77.73,0.5334,15.36,0.000179
34,0.9950,93.85,1.5086,78.57,0.5136,15.29,0.000163
35,0.9796,94.25,1.5268,77.83,0.5472,16.41,0.000148
36,0.9723,94.46,1.5150,79.03,0.5427,15.42,0.000133
37,0.9674,94.57,1.4839,78.87,0.5166,15.70,0.000118
38,0.9484,95.14,1.4980,79.17,0.5496,15.98,0.000104
39,0.9350,95.70,1.4895,79.13,0.5545,16.56,0.000091
40,0.9212,96.07,1.4958,78.93,0.5746,17.14,0.000079
41,0.9208,95.92,1.4788,79.30,0.5580,16.62,0.000067
42,0.9111,96.19,1.4709,79.60,0.5598,16.59,0.000057
43,0.9036,96.36,1.4629,80.10,0.5593,16.26,0.000047
44,0.9000,96.69,1.4599,79.80,0.5598,16.89,0.000039
45,0.8931,96.81,1.4677,80.07,0.5746,16.74,0.000031
46,0.8891,96.90,1.4573,79.80,0.5682,17.10,0.000025
47,0.8875,97.07,1.4598,80.37,0.5723,16.70,0.000019
48,0.8906,96.96,1.4543,80.50,0.5636,16.46,0.000015
49,0.8825,97.17,1.4537,80.37,0.5712,16.80,0.000012
50,0.8772,97.32,1.4496,80.47,0.5724,16.85,0.000011
