epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.7400,43.20,1.6190,73.60,-1.1210,-30.40,0.000100
2,1.9329,63.83,1.5750,73.07,-0.3578,-9.24,0.000200
3,1.8982,64.47,1.6422,71.50,-0.2560,-7.03,0.000300
4,1.9357,63.36,1.6997,70.10,-0.2360,-6.74,0.000400
5,2.0064,61.13,1.8158,66.70,-0.1905,-5.57,0.000500
6,1.9342,63.42,1.7747,68.30,-0.1595,-4.88,0.000500
7,1.8615,65.59,1.7775,66.97,-0.0840,-1.37,0.000499
8,1.7843,68.19,1.6639,70.87,-0.1204,-2.68,0.000498
9,1.7398,69.11,1.6929,70.60,-0.0469,-1.49,0.000495
10,1.6937,70.68,1.6714,71.17,-0.0224,-0.49,0.000491
11,1.6456,72.38,1.6851,70.63,0.0395,1.75,0.000485
12,1.5973,73.81,1.6246,73.10,0.0273,0.71,0.000479
13,1.5611,75.06,1.6420,72.07,0.0810,3.00,0.000471
14,1.5110,76.77,1.6019,74.63,0.0909,2.13,0.000463
15,1.4862,77.43,1.6134,73.93,0.1272,3.50,0.000453
16,1.4376,78.94,1.6271,73.83,0.1895,5.11,0.000443
17,1.4088,80.04,1.6156,72.93,0.2068,7.11,0.000431
18,1.3731,81.46,1.6270,73.40,0.2539,8.06,0.000419
19,1.3388,82.75,1.6088,74.10,0.2699,8.65,0.000406
20,1.3075,83.61,1.6027,74.20,0.2952,9.41,0.000392
21,1.2854,84.20,1.5761,75.87,0.2907,8.33,0.000378
22,1.2462,85.45,1.5670,75.70,0.3208,9.75,0.000362
23,1.2199,86.37,1.5948,75.67,0.3749,10.70,0.000347
24,1.1962,87.39,1.5519,76.43,0.3556,10.96,0.000331
25,1.1822,87.71,1.5934,75.37,0.4113,12.34,0.000314
26,1.1478,89.00,1.5608,75.70,0.4130,13.30,0.000298
27,1.1319,89.46,1.5550,76.50,0.4231,12.96,0.000281
28,1.1077,90.42,1.5654,76.30,0.4578,14.12,0.000264
29,1.0827,91.04,1.5405,77.17,0.4578,13.88,0.000246
30,1.0735,91.29,1.5259,77.43,0.4524,13.86,0.000229
31,1.0469,92.33,1.5555,77.07,0.5086,15.26,0.000212
32,1.0370,92.57,1.5373,77.17,0.5002,15.41,0.000196
33,1.0176,93.10,1.5288,77.83,0.5112,15.26,0.000179
34,1.0013,93.73,1.5152,78.33,0.5138,15.39,0.000163
35,0.9856,94.06,1.4881,79.10,0.5025,14.96,0.000148
36,0.9739,94.42,1.4991,79.43,0.5252,14.99,0.000133
37,0.9558,94.98,1.4727,79.83,0.5169,15.14,0.000118
38,0.9515,95.18,1.4864,79.53,0.5349,15.65,0.000104
39,0.9385,95.56,1.4758,79.77,0.5372,15.80,0.000091
40,0.9331,95.69,1.4458,81.20,0.5127,14.49,0.000079
41,0.9246,95.85,1.4539,80.20,0.5293,15.65,0.000067
42,0.9186,96.14,1.4455,80.50,0.5269,15.64,0.000057
43,0.9060,96.45,1.4428,80.87,0.5367,15.58,0.000047
44,0.9041,96.53,1.4294,81.07,0.5252,15.46,0.000039
45,0.9012,96.57,1.4272,81.20,0.5260,15.37,0.000031
46,0.8905,96.94,1.4234,82.00,0.5328,14.94,0.000025
47,0.8854,97.12,1.4151,81.63,0.5297,15.49,0.000019
48,0.8839,97.08,1.4239,81.97,0.5400,15.11,0.000015
49,0.8856,97.12,1.4251,81.60,0.5395,15.52,0.000012
50,0.8862,97.09,1.4244,81.77,0.5382,15.32,0.000011
