epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.6144,22.27,2.3030,53.70,-1.3114,-31.43,0.000100
2,2.3202,52.72,1.8733,67.40,-0.4469,-14.68,0.000200
3,2.0890,58.92,1.8338,65.00,-0.2552,-6.08,0.000300
4,2.0900,59.44,1.9120,66.20,-0.1780,-6.76,0.000400
5,2.0933,58.89,2.0153,60.20,-0.0780,-1.31,0.000500
6,1.9794,62.92,1.9738,60.60,-0.0056,2.32,0.000500
7,1.9241,64.43,1.9491,62.90,0.0250,1.53,0.000499
8,1.8349,67.49,1.9625,64.40,0.1276,3.09,0.000498
9,1.7842,69.06,1.9386,62.20,0.1544,6.86,0.000495
10,1.7175,70.49,1.9194,65.60,0.2019,4.89,0.000491
11,1.6433,73.54,1.9255,65.00,0.2822,8.54,0.000485
12,1.5790,76.01,1.8580,67.10,0.2789,8.91,0.000479
13,1.5448,77.01,1.9401,63.70,0.3953,13.31,0.000471
14,1.5010,78.77,1.9488,64.20,0.4478,14.57,0.000463
15,1.4688,79.78,1.9110,66.80,0.4422,12.98,0.000453
16,1.4278,80.76,1.8849,66.70,0.4571,14.06,0.000443
17,1.3876,82.27,1.9014,67.20,0.5138,15.07,0.000431
18,1.3477,83.57,1.8401,67.30,0.4925,16.27,0.000419
19,1.3263,84.63,1.8695,67.40,0.5432,17.23,0.000406
20,1.2817,85.79,1.8689,68.40,0.5871,17.39,0.000392
21,1.2473,87.16,1.9088,66.80,0.6616,20.36,0.000378
22,1.2325,87.71,1.7886,69.00,0.5561,18.71,0.000362
23,1.2087,88.66,1.8417,68.30,0.6330,20.36,0.000347
24,1.1882,88.36,1.8521,68.30,0.6639,20.06,0.000331
25,1.1673,89.63,1.8396,69.80,0.6723,19.83,0.000314
26,1.1272,90.70,1.8386,69.30,0.7114,21.40,0.000298
27,1.1016,91.44,1.8663,69.50,0.7647,21.94,0.000281
28,1.1026,91.40,1.8894,68.60,0.7869,22.80,0.000264
29,1.0813,92.21,1.8332,69.00,0.7519,23.21,0.000246
30,1.0650,92.54,1.8305,69.70,0.7655,22.84,0.000229
31,1.0304,93.47,1.7423,72.40,0.7119,21.07,0.000212
32,1.0171,94.20,1.7760,73.10,0.7589,21.10,0.000196
33,0.9983,94.49,1.7755,71.00,0.7771,23.49,0.000179
34,0.9914,94.52,1.7821,71.20,0.7907,23.32,0.000163
35,0.9851,94.81,1.7764,72.40,0.7913,22.41,0.000148
36,0.9627,95.22,1.7391,73.10,0.7764,22.12,0.000133
37,0.9403,96.20,1.7327,71.50,0.7923,24.70,0.000118
38,0.9529,95.59,1.7478,72.10,0.7949,23.49,0.000104
39,0.9274,96.36,1.7255,73.50,0.7981,22.86,0.000091
40,0.9213,96.37,1.6988,75.20,0.7775,21.17,0.000079
41,0.9232,96.54,1.7359,74.40,0.8128,22.14,0.000067
42,0.9202,96.49,1.7056,74.90,0.7854,21.59,0.000057
43,0.9084,96.89,1.7012,73.60,0.7928,23.29,0.000047
44,0.9017,97.13,1.6917,75.10,0.7899,22.03,0.000039
45,0.8883,97.42,1.6867,74.80,0.7984,22.62,0.000031
46,0.8932,97.13,1.6824,75.30,0.7891,21.83,0.000025
47,0.8881,97.26,1.6762,75.60,0.7882,21.66,0.000019
48,0.8858,97.39,1.6692,75.20,0.7833,22.19,0.000015
49,0.8805,97.61,1.6719,75.50,0.7914,22.11,0.000012
50,0.8806,97.52,1.6647,76.50,0.7841,21.02,0.000011
