epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.6352,46.24,1.5786,74.70,-1.0566,-28.46,0.000100
2,1.8917,65.17,1.6044,73.13,-0.2872,-7.96,0.000200
3,1.8922,65.10,1.6569,71.67,-0.2353,-6.57,0.000300
4,1.9373,63.51,1.6672,71.63,-0.2700,-8.12,0.000400
5,1.9934,61.99,1.7441,67.70,-0.2493,-5.71,0.000500
6,1.9150,63.92,1.8008,66.37,-0.1142,-2.45,0.000500
7,1.8481,66.09,1.7403,68.30,-0.1078,-2.21,0.000499
8,1.7934,67.81,1.6534,72.03,-0.1400,-4.22,0.000498
9,1.7346,69.45,1.6412,71.97,-0.0934,-2.52,0.000495
10,1.6899,70.82,1.6501,72.37,-0.0398,-1.55,0.000491
11,1.6430,72.56,1.6689,71.57,0.0259,1.00,0.000485
12,1.5899,74.07,1.6668,71.60,0.0769,2.47,0.000479
13,1.5531,75.29,1.6668,71.73,0.1137,3.56,0.000471
14,1.5002,76.89,1.6031,72.97,0.1029,3.92,0.000463
15,1.4666,78.06,1.6178,72.93,0.1511,5.12,0.000453
16,1.4234,79.53,1.6075,73.13,0.1841,6.39,0.000443
17,1.4028,80.70,1.5974,73.83,0.1946,6.87,0.000431
18,1.3726,81.20,1.6062,73.63,0.2336,7.56,0.000419
19,1.3335,82.56,1.5851,74.57,0.2517,8.00,0.000406
20,1.2945,83.87,1.6157,74.00,0.3212,9.87,0.000392
21,1.2846,84.23,1.6033,74.07,0.3187,10.16,0.000378
22,1.2468,85.60,1.5677,75.17,0.3209,10.44,0.000362
23,1.2260,86.17,1.5937,75.57,0.3677,10.60,0.000347
24,1.1921,87.55,1.6064,74.90,0.4144,12.65,0.000331
25,1.1631,88.37,1.5716,76.37,0.4085,12.01,0.000314
26,1.1449,89.02,1.5783,75.77,0.4334,13.25,0.000298
27,1.1332,89.33,1.5449,76.73,0.4117,12.60,0.000281
28,1.1029,90.53,1.5466,76.47,0.4437,14.06,0.000264
29,1.0899,91.01,1.5352,77.90,0.4453,13.11,0.000246
30,1.0665,91.35,1.5199,77.60,0.4534,13.75,0.000229
31,1.0501,92.13,1.5437,77.53,0.4936,14.60,0.000212
32,1.0291,92.91,1.5172,78.10,0.4881,14.81,0.000196
33,1.0126,93.29,1.5298,78.27,0.5172,15.03,0.000179
34,0.9969,93.72,1.5224,78.33,0.5255,15.39,0.000163
35,0.9841,94.20,1.5016,78.77,0.5176,15.44,0.000148
36,0.9708,94.50,1.4896,79.33,0.5188,15.17,0.000133
37,0.9560,95.03,1.4791,79.53,0.5231,15.50,0.000118
38,0.9490,95.19,1.4799,79.20,0.5309,15.99,0.000104
39,0.9324,95.72,1.4900,79.27,0.5576,16.46,0.000091
40,0.9325,95.68,1.4844,79.93,0.5519,15.74,0.000079
41,0.9224,96.11,1.4572,80.07,0.5348,16.04,0.000067
42,0.9160,96.13,1.4646,80.60,0.5486,15.53,0.000057
43,0.9102,96.36,1.4594,80.73,0.5492,15.63,0.000047
44,0.8973,96.75,1.4530,80.60,0.5557,16.15,0.000039
45,0.8959,96.77,1.4508,80.77,0.5550,16.00,0.000031
46,0.8908,96.96,1.4459,80.80,0.5551,16.16,0.000025
47,0.8866,97.11,1.4414,80.47,0.5548,16.64,0.000019
48,0.8880,97.10,1.4359,80.83,0.5480,16.27,0.000015
49,0.8817,97.23,1.4324,80.87,0.5507,16.36,0.000012
50,0.8839,97.23,1.4331,80.93,0.5491,16.30,0.000011
