epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.6349,21.62,2.2531,54.00,-1.3818,-32.38,0.000100
2,2.2413,55.08,1.7999,67.70,-0.4414,-12.62,0.000200
3,2.0795,59.99,1.8207,68.10,-0.2588,-8.11,0.000300
4,2.0706,59.72,1.8819,64.10,-0.1886,-4.38,0.000400
5,2.0881,59.54,2.0462,59.50,-0.0419,0.04,0.000500
6,2.0018,61.83,1.9973,61.80,-0.0045,0.03,0.000500
7,1.9105,64.69,2.0267,60.90,0.1162,3.79,0.000499
8,1.8294,67.50,1.9427,63.50,0.1133,4.00,0.000498
9,1.7630,69.73,1.9227,65.60,0.1597,4.13,0.000495
10,1.6622,72.88,1.9737,62.30,0.3115,10.58,0.000491
11,1.6212,74.33,2.0098,61.70,0.3885,12.63,0.000485
12,1.5842,75.10,1.9305,64.30,0.3463,10.80,0.000479
13,1.5241,77.66,1.9837,64.70,0.4596,12.96,0.000471
14,1.5059,78.10,1.9790,64.00,0.4731,14.10,0.000463
15,1.4541,79.60,1.9794,62.60,0.5253,17.00,0.000453
16,1.4003,82.06,1.9217,65.00,0.5214,17.06,0.000443
17,1.3660,83.00,1.9460,65.90,0.5801,17.10,0.000431
18,1.3457,83.46,1.9875,65.30,0.6418,18.16,0.000419
19,1.3095,84.83,1.9112,65.80,0.6017,19.03,0.000406
20,1.2692,86.27,1.9542,64.90,0.6851,21.37,0.000392
21,1.2686,86.01,1.9332,65.80,0.6647,20.21,0.000378
22,1.2243,87.54,1.9756,64.00,0.7513,23.54,0.000362
23,1.1909,88.28,1.9364,65.30,0.7455,22.98,0.000347
24,1.1839,88.89,1.9179,68.80,0.7340,20.09,0.000331
25,1.1539,89.72,1.8679,66.80,0.7140,22.92,0.000314
26,1.1291,90.91,1.8689,67.70,0.7398,23.21,0.000298
27,1.1152,91.12,1.8658,67.20,0.7506,23.92,0.000281
28,1.0846,92.27,1.9020,67.50,0.8174,24.77,0.000264
29,1.0678,92.67,1.8570,68.00,0.7892,24.67,0.000246
30,1.0506,93.00,1.8112,68.80,0.7607,24.20,0.000229
31,1.0302,93.28,1.8419,69.40,0.8117,23.88,0.000212
32,1.0127,94.10,1.8194,69.40,0.8067,24.70,0.000196
33,0.9990,94.34,1.8632,68.50,0.8642,25.84,0.000179
34,0.9862,94.88,1.8321,68.50,0.8459,26.38,0.000163
35,0.9859,94.78,1.8648,68.90,0.8788,25.88,0.000148
36,0.9668,95.31,1.8677,68.70,0.9010,26.61,0.000133
37,0.9552,95.49,1.8220,70.30,0.8668,25.19,0.000118
38,0.9485,95.73,1.8374,69.50,0.8889,26.23,0.000104
39,0.9428,95.94,1.7933,70.40,0.8505,25.54,0.000091
40,0.9182,96.58,1.8038,70.40,0.8856,26.18,0.000079
41,0.9150,96.53,1.7871,70.20,0.8721,26.33,0.000067
42,0.9046,96.97,1.7958,70.30,0.8913,26.67,0.000057
43,0.9064,96.80,1.7907,70.80,0.8843,26.00,0.000047
44,0.8932,97.33,1.7865,70.70,0.8933,26.63,0.000039
45,0.8826,97.48,1.7699,71.10,0.8874,26.38,0.000031
46,0.8863,97.49,1.7596,71.30,0.8733,26.19,0.000025
47,0.8868,97.33,1.7649,72.00,0.8781,25.33,0.000019
48,0.8868,97.44,1.7674,71.50,0.8806,25.94,0.000015
49,0.8862,97.42,1.7594,71.60,0.8731,25.82,0.000012
50,0.8751,97.80,1.7615,71.50,0.8864,26.30,0.000011
