epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.7880,41.54,1.6266,72.60,-1.1615,-31.06,0.000100
2,1.9439,63.46,1.5381,75.10,-0.4059,-11.64,0.000200
3,1.9079,64.64,1.5647,74.17,-0.3432,-9.52,0.000300
4,1.9505,63.07,1.6443,72.00,-0.3062,-8.93,0.000400
5,2.0091,61.05,1.7027,69.43,-0.3064,-8.38,0.000500
6,1.9298,63.33,1.6949,70.73,-0.2349,-7.40,0.000500
7,1.8708,65.18,1.6765,70.80,-0.1942,-5.62,0.000499
8,1.7992,67.40,1.6413,72.70,-0.1579,-5.30,0.000498
9,1.7368,69.26,1.6062,72.63,-0.1307,-3.38,0.000495
10,1.6750,71.20,1.6098,72.63,-0.0652,-1.43,0.000491
11,1.6440,72.33,1.5828,74.33,-0.0612,-2.00,0.000485
12,1.5966,73.74,1.5665,74.70,-0.0301,-0.96,0.000479
13,1.5516,75.35,1.5972,74.10,0.0456,1.25,0.000471
14,1.5160,76.37,1.5997,73.83,0.0837,2.54,0.000463
15,1.4802,77.65,1.5544,75.10,0.0742,2.55,0.000453
16,1.4325,79.33,1.5241,75.83,0.0916,3.50,0.000443
17,1.3985,80.33,1.5685,75.00,0.1700,5.33,0.000431
18,1.3678,81.54,1.5365,76.27,0.1687,5.27,0.000419
19,1.3397,82.51,1.5371,76.00,0.1974,6.51,0.000406
20,1.3089,83.57,1.5504,75.07,0.2415,8.50,0.000392
21,1.2825,84.15,1.5355,76.00,0.2530,8.15,0.000378
22,1.2498,85.49,1.5444,76.20,0.2947,9.29,0.000362
23,1.2238,86.29,1.5460,76.43,0.3222,9.86,0.000347
24,1.2009,87.37,1.5262,77.03,0.3253,10.34,0.000331
25,1.1769,87.86,1.5442,77.37,0.3673,10.49,0.000314
26,1.1513,88.79,1.5543,77.27,0.4030,11.52,0.000298
27,1.1315,89.52,1.5216,77.43,0.3901,12.09,0.000281
28,1.1112,90.11,1.4850,78.83,0.3738,11.28,0.000264
29,1.0940,90.67,1.5142,78.20,0.4202,12.47,0.000246
30,1.0787,91.10,1.4948,78.50,0.4161,12.60,0.000229
31,1.0500,92.11,1.4492,79.87,0.3992,12.25,0.000212
32,1.0221,92.85,1.4685,78.93,0.4464,13.91,0.000196
33,1.0172,93.11,1.4783,79.50,0.4611,13.61,0.000179
34,0.9968,93.83,1.4574,80.17,0.4606,13.66,0.000163
35,0.9926,93.92,1.4502,80.37,0.4576,13.56,0.000148
36,0.9791,94.23,1.4425,80.33,0.4633,13.90,0.000133
37,0.9632,94.83,1.4493,80.37,0.4861,14.47,0.000118
38,0.9493,95.25,1.4285,80.53,0.4791,14.72,0.000104
39,0.9386,95.45,1.4178,80.93,0.4792,14.51,0.000091
40,0.9254,96.05,1.4187,81.20,0.4934,14.85,0.000079
41,0.9233,96.09,1.4142,81.33,0.4909,14.76,0.000067
42,0.9086,96.41,1.4094,81.13,0.5008,15.28,0.000057
43,0.9090,96.37,1.3924,82.03,0.4834,14.34,0.000047
44,0.8992,96.69,1.3806,81.80,0.4814,14.89,0.000039
45,0.8987,96.83,1.3861,82.23,0.4874,14.60,0.000031
46,0.8923,96.93,1.3828,82.17,0.4905,14.77,0.000025
47,0.8896,96.91,1.3749,82.87,0.4852,14.05,0.000019
48,0.8845,97.06,1.3747,82.60,0.4902,14.46,0.000015
49,0.8849,97.05,1.3752,82.47,0.4903,14.58,0.000012
50,0.8825,97.22,1.3721,82.83,0.4896,14.39,0.000011
