epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,2.7493,42.66,1.5851,74.63,-1.1642,-31.97,0.000100
2,1.9356,63.77,1.5460,75.63,-0.3896,-11.86,0.000200
3,1.9009,64.55,1.5850,74.07,-0.3159,-9.52,0.000300
4,1.9423,63.22,1.6309,71.63,-0.3114,-8.41,0.000400
5,1.9898,61.68,1.7479,67.97,-0.2420,-6.29,0.000500
6,1.9320,63.09,1.6570,71.17,-0.2750,-8.08,0.000500
7,1.8519,65.79,1.6372,71.50,-0.2147,-5.71,0.000499
8,1.7960,67.34,1.6387,72.43,-0.1574,-5.10,0.000498
9,1.7439,69.26,1.6331,72.70,-0.1108,-3.44,0.000495
10,1.6893,71.06,1.5773,74.03,-0.1120,-2.97,0.000491
11,1.6423,72.29,1.5952,72.87,-0.0471,-0.58,0.000485
12,1.5991,73.47,1.5493,75.13,-0.0497,-1.67,0.000479
13,1.5491,75.50,1.5848,74.83,0.0357,0.67,0.000471
14,1.5163,76.55,1.5813,73.47,0.0649,3.08,0.000463
15,1.4702,77.84,1.5643,75.67,0.0941,2.17,0.000453
16,1.4301,79.20,1.5286,76.40,0.0985,2.80,0.000443
17,1.3978,80.51,1.5316,75.73,0.1338,4.77,0.000431
18,1.3718,81.57,1.5374,75.53,0.1656,6.04,0.000419
19,1.3344,82.40,1.5391,75.43,0.2047,6.97,0.000406
20,1.2988,83.96,1.5404,75.97,0.2416,8.00,0.000392
21,1.2771,84.41,1.5366,76.97,0.2594,7.44,0.000378
22,1.2461,85.66,1.5144,76.93,0.2683,8.73,0.000362
23,1.2170,86.62,1.5134,76.90,0.2964,9.72,0.000347
24,1.2002,87.11,1.5130,77.93,0.3128,9.17,0.000331
25,1.1684,88.23,1.4907,78.17,0.3223,10.07,0.000314
26,1.1443,89.03,1.4734,78.27,0.3290,10.77,0.000298
27,1.1282,89.60,1.4872,78.63,0.3590,10.97,0.000281
28,1.1107,90.03,1.5205,77.60,0.4098,12.43,0.000264
29,1.0827,90.99,1.4976,78.70,0.4149,12.29,0.000246
30,1.0722,91.45,1.4682,79.23,0.3960,12.21,0.000229
31,1.0480,92.04,1.4605,79.67,0.4125,12.38,0.000212
32,1.0261,92.73,1.4705,79.47,0.4444,13.27,0.000196
33,1.0152,93.32,1.4558,78.97,0.4405,14.35,0.000179
34,0.9981,93.84,1.4281,80.17,0.4300,13.67,0.000163
35,0.9869,94.03,1.4436,80.03,0.4567,14.00,0.000148
36,0.9777,94.50,1.4172,81.37,0.4395,13.14,0.000133
37,0.9600,94.85,1.4140,80.97,0.4540,13.88,0.000118
38,0.9476,95.26,1.4149,80.67,0.4673,14.60,0.000104
39,0.9304,95.76,1.4049,81.57,0.4746,14.20,0.000091
40,0.9315,95.81,1.3850,82.30,0.4534,13.51,0.000079
41,0.9122,96.34,1.4137,81.67,0.5015,14.68,0.000067
42,0.9129,96.27,1.4108,81.20,0.4979,15.07,0.000057
43,0.9015,96.71,1.3924,81.67,0.4910,15.04,0.000047
44,0.9067,96.48,1.3749,82.53,0.4682,13.95,0.000039
45,0.8951,96.89,1.3863,82.23,0.4912,14.66,0.000031
46,0.8907,96.88,1.3662,83.10,0.4755,13.78,0.000025
47,0.8859,97.10,1.3683,82.57,0.4825,14.53,0.000019
48,0.8816,97.22,1.3642,83.03,0.4827,14.19,0.000015
49,0.8805,97.25,1.3676,82.97,0.4870,14.28,0.000012
50,0.8790,97.23,1.3634,83.30,0.4845,13.93,0.000011
