epoch,train_loss,train_top1,val_loss,val_top1,gen_gap,acc_gap,lr
1,3.7394,19.26,2.4507,47.70,-1.2887,-28.44,0.000100
2,2.3745,50.77,1.8835,62.30,-0.4910,-11.53,0.000200
3,2.1017,59.30,1.8509,65.90,-0.2508,-6.60,0.000300
4,2.0907,59.12,1.9591,62.60,-0.1316,-3.48,0.000400
5,2.0943,59.20,2.0580,60.70,-0.0363,-1.50,0.000500
6,2.0239,61.44,1.9471,63.00,-0.0768,-1.56,0.000500
7,1.9067,64.72,1.9497,61.40,0.0430,3.32,0.000499
8,1.8186,67.71,1.9276,64.60,0.1090,3.11,0.000498
9,1.7443,70.43,1.9483,64.20,0.2040,6.23,0.000495
10,1.7032,71.81,1.9012,65.10,0.1981,6.71,0.000491
11,1.6415,73.77,1.9193,66.00,0.2778,7.77,0.000485
12,1.5799,75.40,1.9269,64.50,0.3470,10.90,0.000479
13,1.5301,77.41,1.8866,66.90,0.3565,10.51,0.000471
14,1.5141,78.31,1.9118,65.20,0.3977,13.11,0.000463
15,1.4480,80.36,1.9059,66.60,0.4579,13.76,0.000453
16,1.4222,81.07,1.9089,66.50,0.4867,14.57,0.000443
17,1.3726,82.74,1.9320,66.30,0.5593,16.44,0.000431
18,1.3482,83.17,1.9513,64.00,0.6031,19.17,0.000419
19,1.3159,85.01,1.9076,66.60,0.5917,18.41,0.000406
20,1.2903,85.64,1.8663,67.00,0.5760,18.64,0.000392
21,1.2581,86.64,1.8819,67.10,0.6238,19.54,0.000378
22,1.2376,87.13,1.9016,66.30,0.6640,20.83,0.000362
23,1.2135,88.09,1.8273,68.90,0.6139,19.19,0.000347
24,1.1864,89.04,1.8413,67.50,0.6550,21.54,0.000331
25,1.1591,89.84,1.9043,66.60,0.7452,23.24,0.000314
26,1.1437,90.23,1.8453,68.30,0.7016,21.93,0.000298
27,1.1090,91.19,1.8608,69.00,0.7518,22.19,0.000281
28,1.0925,91.92,1.8395,68.20,0.7470,23.72,0.000264
29,1.0921,91.54,1.8077,68.90,0.7156,22.64,0.000246
30,1.0613,92.80,1.7705,70.50,0.7092,22.30,0.000229
31,1.0312,93.60,1.7665,69.40,0.7353,24.20,0.000212
32,1.0184,93.70,1.7895,70.70,0.7711,23.00,0.000196
33,1.0057,94.24,1.8168,69.10,0.8111,25.14,0.000179
34,0.9863,94.84,1.7835,70.60,0.7972,24.24,0.000163
35,0.9703,95.39,1.7376,72.40,0.7673,22.99,0.000148
36,0.9694,95.24,1.7781,71.20,0.8087,24.04,0.000133
37,0.9574,95.68,1.7277,72.70,0.7703,22.98,0.000118
38,0.9457,95.83,1.7691,70.90,0.8234,24.93,0.000104
39,0.9337,96.22,1.7443,71.60,0.8106,24.62,0.000091
40,0.9198,96.62,1.7281,72.70,0.8083,23.92,0.000079
41,0.9135,96.67,1.7091,73.20,0.7955,23.47,0.000067
42,0.9061,96.92,1.7163,72.90,0.8102,24.02,0.000057
43,0.9087,96.64,1.6998,73.60,0.7911,23.04,0.000047
44,0.8925,97.30,1.7069,72.70,0.8145,24.60,0.000039
45,0.8974,97.17,1.6913,73.50,0.7940,23.67,0.000031
46,0.8901,97.20,1.6952,74.20,0.8051,23.00,0.000025
47,0.8898,97.32,1.6747,73.90,0.7848,23.42,0.000019
48,0.8819,97.53,1.6682,74.00,0.7863,23.53,0.000015
49,0.8926,97.20,1.6652,74.10,0.7727,23.10,0.000012
50,0.8750,97.77,1.6711,74.40,0.7961,23.37,0.000011
